"YEAR","SAMPLE","CBSERIAL","STATEFIP","COUNTYFIP","CITY","SEX","AGE","RACE","RACED","RACASIAN","EDUC","EDUCD","EMPSTAT","EMPSTATD","OCC2010","IND","WKSWORK2","UHRSWORK","INCTOT","INCWAGE","INCBUS00","PWSTATE2","PWCOUNTY"
2015,201501,78889,25,0,0,1,40,6,610,2,11,114,1,10,1020,6970,6,40,120000,120000,0,25,25
2015,201501,78889,25,0,0,2,34,6,610,2,11,114,1,10,130,2190,6,45,100000,100000,0,25,0
2015,201501,78889,25,0,0,2,5,6,610,2,1,11,0,0,9920,0,0,0,9999999,999999,999999,0,0
2015,201501,79795,25,0,0,2,60,6,600,2,10,101,1,10,230,7890,6,38,56000,56000,0,25,0
2015,201501,80005,25,0,0,1,37,4,400,2,11,116,1,10,2200,7870,6,40,150000,150000,0,25,0
2015,201501,80005,25,0,0,2,35,4,400,2,11,114,1,10,800,6490,6,40,78000,78000,0,25,0
2015,201501,80005,25,0,0,1,3,4,400,2,1,11,0,0,9920,0,0,0,9999999,999999,999999,0,0
2015,201501,80416,25,0,0,2,36,6,610,2,11,114,3,30,1020,7380,0,0,0,0,0,0,0
2015,201501,80416,25,0,0,1,41,6,610,2,11,114,1,10,1020,6490,6,40,80000,80000,0,25,0
2015,201501,80416,25,0,0,2,1,6,610,2,0,1,0,0,9920,0,0,0,9999999,999999,999999,0,0
2015,201501,80416,25,0,0,2,66,6,610,2,6,63,3,30,9920,0,0,0,0,0,0,0,0
2015,201501,80733,25,0,0,2,43,6,640,2,10,101,3,30,9920,0,0,0,0,0,0,0,0
2015,201501,80733,25,0,0,1,51,6,640,2,8,81,1,10,1100,6870,6,72,268000,240000,0,25,0
2015,201501,80733,25,0,0,2,16,6,640,2,4,40,1,10,3950,8590,2,6,1400,1400,0,25,0
2015,201501,80733,25,0,0,2,15,6,640,2,2,26,0,0,9920,0,0,0,0,999999,0,0,0
2015,201501,80733,25,0,0,2,11,6,640,2,2,22,0,0,9920,0,0,0,9999999,999999,999999,0,0
2015,201501,80733,25,0,0,1,8,6,640,2,1,15,0,0,9920,0,0,0,9999999,999999,999999,0,0
2015,201501,80817,25,25,810,1,29,6,640,2,10,101,1,10,1530,3960,6,45,70000,70000,0,25,0
2015,201501,80817,25,25,810,1,67,6,640,2,6,61,3,30,9640,3960,1,40,3000,3000,0,0,0
2015,201501,80817,25,25,810,2,65,6,640,2,6,61,1,10,8300,9070,6,72,10000,0,10000,25,25
2015,201501,82028,25,25,810,2,19,6,610,2,7,71,1,10,10,9370,3,40,6300,6300,0,25,25
2015,201501,82738,25,0,0,1,46,4,400,2,11,114,1,10,1020,3390,6,40,130000,130000,0,25,0
2015,201501,82738,25,0,0,2,47,4,400,2,11,116,1,10,1610,7460,6,40,110000,110000,0,25,0
2015,201501,82738,25,0,0,2,15,4,400,2,3,30,0,0,9920,0,0,0,0,999999,0,0,0
