YEAR,STATEFIP,CITY,SEX,AGE,RACED,EDUC,EMPSTAT,OCC2010,IND,UHRSWORK,INCTOT,INCWAGE
2015,25,810,2,20,Indian,11,1,730,7390,35,3000,3000
2015,25,0,1,58,Chinese,10,3,9920,0,0,10000,0
2015,25,0,2,55,Chinese,10,1,800,6870,50,190000,170000
2015,25,0,1,24,Chinese,10,1,1350,2280,50,76000,76000
2015,25,0,2,21,Chinese,7,1,800,7290,40,4000,4000
2015,25,0,1,76,Indian,11,3,9920,0,0,152800,0
2015,25,0,2,72,Indian,10,3,9920,0,0,10100,0
2015,25,0,2,47,Chinese,0,1,4720,8680,40,42800,18200
2015,25,0,1,47,Chinese,0,1,4000,8680,40,42800,18200
2015,25,0,1,13,Chinese,2,0,9920,0,0,9999999,999999
2015,25,810,2,30,Vietnamese,6,3,9920,0,0,0,0
2015,25,810,2,70,Vietnamese,6,3,9920,0,0,3200,0
2015,25,810,1,60,Vietnamese,6,3,9920,0,0,0,0
2015,25,0,2,44,Chinese,7,3,9920,0,0,0,0
2015,25,810,1,42,Indian,10,1,1000,7380,40,170040,170000
2015,25,810,2,41,Indian,10,1,1000,7380,40,130000,130000
2015,25,810,1,17,Indian,4,1,2340,7860,3,800,800
2015,25,810,1,8,Indian,1,0,9920,0,0,9999999,999999
2015,25,0,1,40,Other,10,1,7020,7290,40,106000,106000
2015,25,0,2,37,Vietnamese,8,1,800,6870,25,20000,20000
2015,25,0,2,14,Other,2,0,9920,0,0,9999999,999999
2015,25,0,2,13,Other,2,0,9920,0,0,9999999,999999
2015,25,0,2,8,Other,1,0,9920,0,0,9999999,999999
2015,25,0,1,56,Vietnamese,6,1,4520,8170,15,8800,6700
2015,25,0,2,52,Vietnamese,8,1,4520,8990,16,10400,10400
2015,25,0,1,23,Vietnamese,11,1,1360,7290,16,9000,9000
2015,25,0,2,12,Vietnamese,2,0,9920,0,0,9999999,999999
2015,25,810,1,51,Chinese,6,3,4000,8680,0,0,0
2015,25,810,2,42,Chinese,6,1,4700,8660,45,31700,31700
2015,25,810,1,21,Chinese,7,2,4760,5380,0,0,0
2015,25,810,1,16,Chinese,4,3,9920,0,0,0,0
2015,25,810,2,12,Chinese,2,0,9920,0,0,9999999,999999
2015,25,0,1,94,Chinese,7,3,9920,0,0,7800,0
2015,25,0,2,90,Chinese,6,3,9920,0,0,7800,0
2015,25,930,2,55,Indian,11,2,9920,9920,0,0,0
2015,25,0,1,28,Vietnamese,11,1,1220,9380,40,55000,55000
2015,25,810,2,25,Chinese,10,1,3300,8190,40,38000,38000
2015,25,0,2,32,Other,6,1,7750,3380,45,31700,31700
2015,25,0,1,8,Other,1,0,9920,0,0,9999999,999999
2015,25,0,1,6,Other,1,0,9920,0,0,9999999,999999
2015,25,0,2,25,Other,6,1,4720,5170,32,14400,14400
2015,25,0,1,33,Other,6,1,9610,7080,40,20000,20000
2015,25,930,1,68,Japanese,11,3,2200,7870,50,57500,18000
2015,25,0,1,48,Indian,11,1,1800,9570,37,80000,80000
2015,25,0,2,40,Indian,11,1,2000,9480,37,62000,62000
2015,25,0,1,10,Indian,1,0,9920,0,0,9999999,999999
2015,25,0,2,19,Thai,6,1,5400,7870,6,800,600
2015,25,0,1,53,Japanese,10,1,110,6890,45,160000,160000
2015,25,0,1,45,Chinese,11,1,1020,7380,40,130000,130000
